Dataset,arima,persistence,svr,tcn,lstm,gru,rvfl,ewtrvfl,vmd_lstm,edesn,edrvfl,ewtedrvfl,redrvfl
DJI.xlsx,2633.846014133321,257.55734296085865,1078.6858482519397,1511.024524806701,2582.6775491301546,3218.552418718434,325.43650653629106,310.2141677459777,2204.2546297760628,286.74947841886393,281.3098552889035,365.1149095477957,271.3433317550505
HSI.xlsx,5161.974031909693,279.0088261471519,413.72093624224334,442.19097222222223,1837.367004136999,3291.3556123026656,289.8778312012303,346.7311168425953,2590.865992575699,300.84908375893707,293.11580320075683,316.32486993484645,289.91642767668776
KOSPI.xlsx,329.8122953580413,22.661433936697,177.53869061085507,118.20256248327088,269.371574189474,249.7992343289949,25.186281325871022,25.870862986102836,143.06395700197405,24.080216140364453,23.748291011693272,25.123161865430745,23.753024311596626
LSE.xlsx,453.18593187025766,46.84436527375252,50.62724421195558,61.182947107263516,166.53114036512474,124.91654857231029,48.51137174901041,18.397481933586604,117.42552238987786,48.3467276237943,48.928560525495314,16.22629943557786,48.95491766160534
NASDAQ.xlsx,1359.879176997469,159.55998461174246,713.856979310523,793.2707361527923,1893.748463675902,2345.7385594223483,190.49001823241633,138.71011363895278,1950.4156169458763,175.08418760499214,175.01243159242358,124.86983211420196,167.14696575126263
NIFTY50.xlsx,1700.5394464468257,127.82301873675848,1808.019425592571,1525.2258117806477,2617.71663376606,3180.249205783195,151.10851789601716,142.01851615566508,2513.237973288382,133.7601124402984,132.98423091733272,145.34623436852564,131.5094387248411
NYSE.xlsx,1059.1861662492952,129.77236426767672,820.4156231185001,781.7451695393041,1156.5216434439433,1811.2255701546717,218.3058080963625,154.83350288558478,1381.5243231275304,140.47616506749068,136.28071998439108,178.78671140872015,134.77121606691918
RUSSELL2000.xlsx,189.7951815474513,25.572934915561877,147.76422188964207,102.21789877980025,214.4534290431701,278.40783518781564,31.48238403102136,27.6093484047185,216.09534556276884,27.704955780270453,27.332308235062026,21.375649918784255,26.796169458254422
SENSEX.xlsx,5381.429710603205,431.6828835227276,5333.667906049237,4840.8398855728055,8438.645116769272,10520.06747601141,504.67105464489026,279.2014161438269,8102.832614756224,453.3337165537672,452.6647021654637,340.57129396051744,441.04019390856234
SP500.xlsx,354.83508501367766,37.86775716145833,142.77676427256813,249.21701685325385,470.63977942735517,685.8359986584596,42.800276749017,23.154655340049125,500.16226999383224,41.31676413437792,40.48474061172106,45.71885690107603,39.46996281171086
SSE.xlsx,183.40596668812978,25.046738568474257,32.67368377811569,33.71395335477941,197.03554041245405,240.78485517742254,26.501148584309092,28.378146012086543,238.39550063189338,27.424230100000752,27.25236768561614,27.404103472546403,26.580340730042018
