Dataset,Alpha,RMSE,MAE,MAPE,Time
DJI.xlsx,0.001,2489.1184229137993,1993.0287747753569,0.06020345890060473,0.0028231143951416016
HSI.xlsx,0.001,5688.960182406012,4620.135164302639,0.2039450003077836,0.0010569095611572266
KOSPI.xlsx,0.001,473.5439545043791,381.92190087262435,0.13969943663720247,0.0008091926574707031
LSE.xlsx,0.001,393.4716786884238,315.2358772699341,0.04419128392829868,0.0009024143218994141
NASDAQ.xlsx,0.001,2199.7187302543693,1780.6103127150802,0.13769371491448326,0.0007915496826171875
NIFTY50.xlsx,0.001,1714.1257070313927,1382.020661263497,0.08418143640389618,0.0008730888366699219
NYSE.xlsx,0.001,1294.8995966780917,1038.1893643056987,0.06627034801220516,0.0007903575897216797
RUSSELL2000.xlsx,0.001,296.27359926037775,237.9610579884918,0.11819198909076874,0.0008482933044433594
SENSEX.xlsx,0.001,5754.678976081288,4652.617133916916,0.08438309887787028,0.0008111000061035156
SP500.xlsx,0.001,425.6277639008984,346.56216464762946,0.08313842773099826,0.0007607936859130859
SSE.xlsx,0.001,283.59778674231416,226.97382720525889,0.06806481609639692,0.0007877349853515625
DJI.xlsx,0.01,2488.2823734503963,1992.3398124860082,0.060182589133513806,0.0008997917175292969
HSI.xlsx,0.01,5688.272004956357,4619.526363023258,0.20392245835146308,0.0008039474487304688
KOSPI.xlsx,0.01,473.51386592679626,381.892680935076,0.13968932654559804,0.0008273124694824219
LSE.xlsx,0.01,393.3768788303037,315.1520468926343,0.044179455348335235,0.0008130073547363281
NASDAQ.xlsx,0.01,2199.1706605486083,1780.1601298474102,0.13766306978919135,0.0008127689361572266
NIFTY50.xlsx,0.01,1713.76011636879,1381.709447985734,0.0841621042027865,0.0007884502410888672
NYSE.xlsx,0.01,1294.6438605247529,1037.9754951110863,0.06625620013444761,0.0007917881011962891
RUSSELL2000.xlsx,0.01,296.2204490111663,237.90842103648103,0.1181661204402608,0.0008120536804199219
SENSEX.xlsx,0.01,5753.465724967712,4651.616488982701,0.08436458448555842,0.0007879734039306641
SP500.xlsx,0.01,425.5032184753109,346.4610349235612,0.08311386073537651,0.0007874965667724609
SSE.xlsx,0.01,283.4242719109083,226.8131631744173,0.06801746145370292,0.0007772445678710938
DJI.xlsx,0.1,2483.482798601653,1988.482338420091,0.06006515406248547,0.0008022785186767578
HSI.xlsx,0.1,5683.255308578142,4615.227544662331,0.2037657359703121,0.0008013248443603516
KOSPI.xlsx,0.1,473.26939767590915,381.6583494412246,0.1396084716064956,0.0007841587066650391
LSE.xlsx,0.1,392.69124126029806,314.5521688497165,0.0440945389991536,0.0007929801940917969
NASDAQ.xlsx,0.1,2195.7547983187537,1777.3529888733544,0.13747855109922547,0.0007982254028320312
NIFTY50.xlsx,0.1,1712.0342395311916,1380.336857340625,0.08407506328423815,0.0008866786956787109
NYSE.xlsx,0.1,1292.8113346146279,1036.460774188851,0.06615510856946702,0.0007715225219726562
RUSSELL2000.xlsx,0.1,295.83590076482886,237.53547502896637,0.11798178906283252,0.0007815361022949219
SENSEX.xlsx,0.1,5747.713262390824,4647.113761765827,0.08427943080330826,0.0007882118225097656
SP500.xlsx,0.1,424.79557140741616,345.89023269326964,0.08297566104417131,0.000820159912109375
SSE.xlsx,0.1,282.5884470422897,226.08154509148486,0.06780119893883037,0.0008451938629150391
DJI.xlsx,1.0,2469.9803702600298,1978.342614896092,0.05975122019057812,0.0007989406585693359
HSI.xlsx,1.0,5661.816826395054,4597.213380535165,0.20312548021691426,0.0007784366607666016
KOSPI.xlsx,1.0,472.1188499417853,380.60082111063366,0.13924614618337194,0.000843048095703125
LSE.xlsx,1.0,390.17616007770124,312.4288757224318,0.04379054222152521,0.0007855892181396484
NASDAQ.xlsx,1.0,2184.636394487272,1768.1572549790903,0.13692614273159256,0.0007913112640380859
NIFTY50.xlsx,1.0,1707.9814787246687,1376.964883190743,0.08384982660985328,0.0007710456848144531
NYSE.xlsx,1.0,1286.0477663692996,1031.0746460457824,0.06578624825238844,0.0007803440093994141
RUSSELL2000.xlsx,1.0,294.35922094234434,236.16636262068283,0.11729687130350233,0.0007598400115966797
SENSEX.xlsx,1.0,5733.321221636892,4635.298916272911,0.08404740512132197,0.0007717609405517578
SP500.xlsx,1.0,422.7946768215051,344.31220769985964,0.0825973302112362,0.0008130073547363281
SSE.xlsx,1.0,279.954276126459,223.87626313919492,0.06714412345256247,0.0007915496826171875
DJI.xlsx,10.0,2443.7649579957324,1960.6975820903888,0.05916434004998267,0.0008449554443359375
HSI.xlsx,10.0,5590.298526421114,4539.478554800105,0.20107083514279972,0.0007605552673339844
KOSPI.xlsx,10.0,468.06340566711094,377.1252336759183,0.13801327373240985,0.0008120536804199219
LSE.xlsx,10.0,384.11731161296603,307.4280113662725,0.04306227419738242,0.0008647441864013672
NASDAQ.xlsx,10.0,2162.914098617331,1750.3025727082584,0.13591274513328577,0.00080108642578125
NIFTY50.xlsx,10.0,1699.5191333991543,1368.621232308513,0.08324054929779388,0.0008053779602050781
NYSE.xlsx,10.0,1269.528222129458,1018.4723620874888,0.06487706550181467,0.0008025169372558594
RUSSELL2000.xlsx,10.0,290.24447294659024,232.52398930089697,0.11544545672144658,0.000804901123046875
SENSEX.xlsx,10.0,5699.671749367983,4605.123645810684,0.08340925975910826,0.0008664131164550781
SP500.xlsx,10.0,418.9054699213093,341.23996165311326,0.08182906602882681,0.0008134841918945312
SSE.xlsx,10.0,273.09057346965835,218.26783487763876,0.06542814537998472,0.0008034706115722656
